year,month,value
1906,10,-0.18
1906,11,-0.53
1906,12,-0.26
1907,1,-0.48
1907,2,-0.67
1907,3,-0.44
1907,4,-0.59
1907,5,-0.59
1907,6,-0.66
1907,7,-0.43
1907,8,-0.55
1907,9,-0.4
1907,10,-0.33
1907,11,-0.6
1907,12,-0.67
1908,1,-0.38
1908,2,-0.33
1908,3,-0.52
1908,4,-0.46
1908,5,-0.34
1908,6,-0.44
1908,7,-0.41
1908,8,-0.4
1908,9,-0.17
1908,10,-0.41
1908,11,-0.59
1908,12,-0.41
1909,1,-0.78
1909,2,-0.58
1909,3,-0.49
1909,4,-0.61
1909,5,-0.59
1909,6,-0.42
1909,7,-0.34
1909,8,-0.1
1909,9,-0.19
1909,10,-0.17
1909,11,-0.14
1909,12,-0.54
1910,1,-0.45
1910,2,-0.38
1910,3,-0.46
1910,4,-0.3
1910,5,-0.25
1910,6,-0.34
1910,7,-0.23
1910,8,-0.14
1910,9,-0.09
1910,10,-0.29
1910,11,-0.51
1910,12,-0.64
1911,1,-0.64
1911,2,-0.64
1911,3,-0.59
1911,4,-0.51
1911,5,-0.36
1911,6,-0.36
1911,7,-0.14
1911,8,-0.23
1911,9,-0.24
1911,10,-0.16
1911,11,-0.12
1911,12,-0.23
1912,1,-0.16
1912,2,-0.1
1912,3,-0.41
1912,4,-0.28
1912,5,-0.17
1912,6,-0.24
1912,7,-0.49
1912,8,-0.62
1912,9,-0.34
1912,10,-0.46
1912,11,-0.41
1912,12,-0.32
1913,1,-0.44
1913,2,-0.47
1913,3,-0.56
1913,4,-0.3
1913,5,-0.62
1913,6,-0.6
1913,7,-0.22
1913,8,-0.2
1913,9,-0.2
1913,10,-0.28
1913,11,-0.13
1913,12,0.06
1914,1,0.15
1914,2,-0.03
1914,3,-0.03
1914,4,-0.19
1914,5,-0.01
1914,6,-0.09
1914,7,-0.2
1914,8,-0.07
1914,9,-0.06
1914,10,0.13
1914,11,-0.32
1914,12,-0.2
1915,1,-0.16
1915,2,0.06
1915,3,-0.09
1915,4,-0.01
1915,5,-0.2
1915,6,-0.2
1915,7,0.04
1915,8,-0.18
1915,9,0
1915,10,-0.09
1915,11,0.06
1915,12,-0.1
1916,1,-0.05
1916,2,-0.12
1916,3,-0.45
1916,4,-0.28
1916,5,-0.34
1916,6,-0.48
1916,7,-0.35
1916,8,-0.1
1916,9,-0.17
1916,10,-0.13
1916,11,-0.36
1916,12,-0.79
1917,1,-0.5
1917,2,-0.73
1917,3,-0.77
1917,4,-0.52
1917,5,-0.77
1917,6,-0.44
1917,7,0.01
1917,8,-0.37
1917,9,-0.3
1917,10,-0.48
1917,11,-0.32
1917,12,-0.92
1918,1,-0.61
1918,2,-0.57
1918,3,-0.49
1918,4,-0.53
1918,5,-0.76
1918,6,-0.43
1918,7,-0.47
1918,8,-0.46
1918,9,-0.15
1918,10,0.03
1918,11,-0.23
1918,12,-0.34
1919,1,-0.29
1919,2,-0.22
1919,3,-0.1
1919,4,-0.12
1919,5,-0.14
1919,6,-0.15
1919,7,-0.06
1919,8,-0.07
1919,9,-0.17
1919,10,-0.05
